# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Indonesian. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Indonesian where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|kamu, Anda (satu orang atau lebih)|f2s2p
good|bagus, baik|o
let|membiarkan, mengizinkan|v
did|bentuk lampau dari do|o
who|siapa|o
tell|memberitahu (seseorang sesuatu)|v
why|mengapa, kenapa|o
from|dari|o
his|dia (laki-laki), -nya|o
yes|ya|o
time|waktu; kali (satu kesempatan)|o;o
make|membuat, menciptakan; memaksa (melakukan)|v;v
when|kapan, ketika|o
going|pergi; (going to) akan|o;o
an|sebuah, satu (sebelum bunyi vokal)|o
man|pria, laki-laki; (seruan) menyatakan kaget|o;o
back|kembali (ke tempat semula); punggung (bagian tubuh)|o;o
say|berkata, mengatakan|v
us|kami, kita|o
would|akan (dalam kalimat sopan atau bersyarat)|o
them|mereka|o
where|di mana|o
were|kamu adalah (bentuk lampau); kami/mereka adalah (bentuk lampau)|f2s2p;f1p
then|lalu, kemudian; kalau begitu|o;o
had|bentuk lampau dari have|o
or|atau|o
been|sudah menjadi (bentuk ketiga dari be)|o
need|butuh, perlu|v
thing|benda, hal|o
our|kami, kita (milik)|o
gonna|akan (tidak baku)|o
really|sungguh, benar-benar; sangat|o;o
thank|berterima kasih; (thank you) terima kasih|v;o
some|beberapa, sebagian|o
hey|hei (menyapa; menarik perhatian)|o
give|memberi|v
could|bisa, dulu bisa; bisa (permintaan sopan)|o;o
'd|akan (I'd like); (sudah: I'd gone)|o;g
didn|(tidak, dalam didn't)|g
by|di samping; oleh (pelaku)|o;o
mean|berarti, bermakna; jahat, kejam|v;o
way|jalan; cara|o;o
something|sesuatu|o
has|dia punya|f3s
little|kecil; sedikit|o;o
too|juga; terlalu|o;o
much|banyak|o
more|lebih|o
because|karena|o
talk|berbicara, bicara|v
love|mencintai; cinta|v;o
down|ke bawah|o
very|sangat|o
never|tidak pernah|o
call|menelepon; memanggil (menyebut nama); panggilan, telepon|v;v;o
people|orang-orang|o
only|hanya|o
over|di atas; selesai, berakhir|o;o
guy|cowok, pria; (guys) orang-orang, siapa saja|o;o
day|hari|o
please|tolong, silakan (permintaan sopan)|o
should|sebaiknya, seharusnya|o
said|bentuk lampau dari say|o
sorry|maaf (meminta ampun); kasihan (merasa prihatin)|o;o
off|lepas, mati (tidak menyala)|o
am|saya adalah|f1s
work|bekerja; pekerjaan|v;o
try|mencoba, berusaha|v
any|apa pun, sembarang|o
two|dua|o
wait|menunggu|v
even|bahkan (mengherankan); rata (datar)|o;o
life|hidup, kehidupan|o
doing|melakukan|o
hello|halo|o
help|menolong, membantu; bantuan|v;o
sure|yakin, pasti; (seruan) ya, tentu|o;o
year|tahun|o
these|ini (lebih dari satu)|o
other|lain|o
stop|berhenti|v
happen|terjadi|v
first|pertama|o
into|ke dalam|o
keep|menyimpan; terus (melakukan)|v;v
find|menemukan|v
ask|bertanya (mengajukan pertanyaan); meminta|v;v
still|masih (sampai sekarang); diam, tidak bergerak|o;o
anything|apa saja, apa pun|o
hear|mendengar|v
god|tuhan, dewa; (oh God) seruan kaget|o;o
leave|pergi, berangkat; meninggalkan|v;v
nothing|tidak ada apa-apa|o
sir|tuan, pak (sapaan hormat untuk laki-laki)|o
put|meletakkan, menaruh|v
their|mereka, milik mereka|o
use|memakai, menggunakan; kegunaan, manfaat|v;o
great|hebat, bagus sekali; besar|o;o
long|panjang, lama|o
uh|eh (ragu-ragu)|o
again|lagi|o
thought|bentuk lampau dari think; pikiran, gagasan|o;o
kill|membunuh|v
maybe|mungkin, barangkali|o
must|harus|o
night|malam|o
before|sebelum|o
after|sesudah, setelah|o
won|menang, bentuk lampau dari win; (dalam won't) tidak akan|o;o
home|rumah|o
away|jauh, pergi|o
girl|anak perempuan, cewek|o
than|daripada|o
name|nama; menamai|o;v
friend|teman, kawan|o
last|terakhir; bertahan, berlangsung|o;v
fuck|(kasar) persetan; dipakai untuk marah atau penegasan|o;o
better|lebih baik|o
everything|segalanya, semuanya|o
new|baru|o
start|mulai, memulai; awal, permulaan|v;o
always|selalu|o
feel|merasa|v
place|tempat|o
big|besar|o
woman|wanita, perempuan|o
old|tua, lama|o
money|uang|o
around|sekitar, di sekeliling|o
doesn|(dalam doesn't) tidak|f3s
stay|tinggal, menetap|v
lot|(a lot) banyak|o
play|bermain; drama, sandiwara|v;o
kid|anak; bercanda|o;v
believe|percaya|v
wrong|salah|o
bring|membawa (ke sini)|v
father|ayah, bapak|o
ever|pernah, kapan saja|o
move|bergerak, memindahkan|v
boy|anak laki-laki|o
show|menunjukkan; acara, pertunjukan|v;o
isn|(dalam isn't) bukan, tidak|f3s
listen|mendengarkan|v
die|mati, meninggal|v
which|yang mana|o
miss|merindukan (merasa kehilangan); luput, tidak kena; Nona (gelar)|v;v;o
late|terlambat, telat|o
nice|baik, menyenangkan|o
fine|baik-baik saja; bagus, bermutu|o;o
kind|jenis, macam; baik hati, ramah|o;o
house|rumah|o
understand|mengerti, memahami|v
someone|seseorang|o
being|menjadi (bentuk -ing dari be)|o
hand|tangan|o
meet|bertemu|v
coming|datang|o
every|setiap|o
through|melalui, lewat|o
lose|kehilangan; kalah|v;v
remember|ingat, mengingat|v
course|kursus, rangkaian pelajaran; (of course) tentu saja|o;o
mother|ibu|o
dad|ayah, papa|o
left|bentuk lampau dari leave; kiri (sisi)|o;o
world|dunia|o
enough|cukup|o
own|sendiri (milik sendiri); memiliki|o;v
care|peduli; perhatian, perawatan|v;o
may|boleh (diizinkan); mungkin|o;o
bad|buruk, jelek|o
three|tiga|o
might|mungkin|o
today|hari ini|o
car|mobil|o
another|yang lain, satu lagi|o
minute|menit|o
turn|berbelok, memutar; giliran|v;o
same|sama|o
son|putra, anak lelaki|o
found|bentuk lampau dari find|o
else|lain, selain itu|o
next|berikutnya, selanjutnya|o
run|berlari; menjalankan (usaha)|v;v
live|hidup, tinggal|v
mind|pikiran; keberatan, mempermasalahkan|o;v
yourself|dirimu sendiri|o
job|pekerjaan, tugas|o
head|kepala; menuju, mengarah ke|o;v
dead|sudah mati, tewas|o
family|keluarga|o
many|banyak (yang bisa dihitung)|o
worry|khawatir; kekhawatiran|v;o
wasn|(tidak, dalam wasn't)|g
baby|bayi|o
room|kamar (di rumah); ruang, tempat|o;o
mom|mama, ibu|o
watch|menonton, memperhatikan; jam tangan|v;o
child|anak (bukan orang dewasa)|o
hold|memegang; (hold on!) tunggu dulu|v;o
best|terbaik|o
morning|pagi|o
hell|neraka; (what the hell) menyatakan kesal|o;o
together|bersama|o
brother|saudara laki-laki, kakak atau adik lelaki|o
saw|bentuk lampau dari see|o
change|mengubah, berubah; kembalian (uang)|v;o
pay|membayar|v
eat|makan|v
end|akhir; mengakhiri|o;v
idea|ide, gagasan|o
real|nyata, asli|o
forget|lupa, melupakan|v
problem|masalah|o
without|tanpa|o
wouldn|(tidak, dalam wouldn't)|g
already|sudah|o
hope|berharap; harapan|v;o
door|pintu|o
open|membuka; terbuka|v;o
send|mengirim|v
matter|penting, berarti; perkara, urusan|v;o
actually|sebenarnya, sesungguhnya|o
shit|(kasar) tai; dipakai untuk kesal atau kecewa|o;o
seem|tampak, kelihatan|v
hard|sulit, susah; keras|o;o
happy|bahagia, senang|o
huh|hah? (minta diulang; meminta persetujuan)|o
speak|bertutur, berbicara|v
both|keduanya|o
once|sekali, satu kali; dahulu, pernah|o;o
bit|(a bit) sedikit|o
laugh|tertawa; tawa|v;o
ready|siap|o
guess|menduga, menebak; (I guess) rasanya, kurasa|v;f1s
pretty|cantik, manis; cukup, agak|o;o
wife|istri|o
drink|minum; minuman|v;o
hour|jam (60 menit)|o
word|kata|o
eye|mata|o
such|sedemikian, semacam itu|o
also|juga|o
haven|(belum, dalam haven't)|g
yet|belum, sampai sekarang; namun, tetapi|o;o
whole|seluruh, utuh|o
while|sementara, selama|o
since|sejak (dari waktu itu); karena, sebab|o;o
face|wajah, muka; menghadapi|o;v
phone|telepon; menelepon|o;v
sleep|tidur; tidur, istirahat malam|v;o
school|sekolah|o
fight|berkelahi, bertengkar; perkelahian|v;o
tomorrow|besok|o
week|minggu, pekan|o
tonight|malam ini|o
everyone|semua orang|o
break|memecahkan, merusak; istirahat, jeda|v;o
walk|berjalan; jalan-jalan|v;o
marry|menikah, menikahi|v
wanna|mau (tidak baku)|o
ah|ah (mengerti, lega)|o
second|detik (satuan waktu); kedua (setelah pertama)|o;o
alone|sendiri, seorang diri|o
myself|diri saya sendiri|o
case|kasus, perkara; (in case) kalau-kalau|o;o
check|memeriksa; melihat, mengecek|v;v
um|em… (ragu-ragu)|o
soon|segera, tak lama lagi|o
close|menutup; dekat|v;o
question|pertanyaan|o
saying|mengatakan|o
lie|berbohong; berbaring|v;v
few|sedikit, tidak banyak|o
heart|hati, jantung|o
couldn|(tidak, dalam couldn't)|g
lady|nyonya, perempuan|o
buy|membeli|v
gotta|(have got to) harus|o
ago|yang lalu|o
excuse|(excuse me) permisi, maaf; memaafkan|o;v
anyone|siapa saja, siapa pun|o
sound|suara, bunyi; kedengaran, terdengar|o;v
until|sampai, hingga|o
sit|duduk|v
become|menjadi|v
doctor|dokter|o
young|muda|o
police|polisi|o
business|bisnis, usaha; urusan, perkara|o;o
part|bagian|o
true|benar, betul|o
each|masing-masing|o
point|inti, maksud; menunjuk|o;v
easy|mudah, gampang|o
deal|kesepakatan, perjanjian; mengurus, menangani|o;v
hit|memukul, menghantam|v
fire|api; memberhentikan (dari pekerjaan); menembakkan (senjata)|o;v;v
hurt|melukai, menyakiti|v
music|musik|o
water|air|o
probably|kemungkinan besar, agaknya|o
month|bulan|o
beautiful|indah, cantik|o
stuff|barang, benda-benda|o
person|orang|o
damn|sialan (kesal); terkutuk|o;o
story|cerita, kisah|o
body|tubuh, badan|o
death|kematian|o
order|perintah; urutan, susunan|o;o
number|angka, nomor|o
working|bekerja|o
pick|memilih; menjemput, mengambil|v;v
crazy|gila|o
write|menulis|v
stand|berdiri; tahan, sanggup menahan|v;v
save|menyelamatkan; menyimpan|v;v
game|permainan, pertandingan|o
exactly|tepat, persis|o
under|di bawah|o
everybody|setiap orang, semua orang|o
wish|berharap, mengharapkan; harapan, keinginan|v;o
far|jauh (jaraknya)|o
shut|menutup; (shut up!) diam!|v;o
chance|kesempatan, peluang; kebetulan, untung-untungan|o;o
party|pesta (perayaan); kelompok, pihak|o;o
five|lima|o
plan|rencana; merencanakan|o;v
mine|milik saya|o
its|-nya (milik benda itu)|o
whatever|apa pun|o
answer|jawaban; menjawab|o;v
aren|(tidak, dalam aren't)|g
taking|mengambil|o
promise|berjanji; janji|v;o
moment|saat, sesaat|o
interest|minat, ketertarikan; menarik minat|o;v
inside|di dalam|o
set|meletakkan, menaruh; perangkat, satu set|v;o
catch|menangkap|v
different|berbeda, lain|o
high|tinggi|o
dear|sayang (yang dicintai); yang terhormat (dalam surat)|o;o
sister|saudara perempuan, kakak atau adik perempuan|o
daughter|putri, anak perempuan|o
gun|pistol, senjata api|o
somebody|seseorang, orang tertentu|o
light|cahaya, terang; ringan|o;o
dream|mimpi; bermimpi|o;v
reason|alasan|o
side|sisi, samping|o
making|membuat|o
afraid|takut; (I'm afraid) sayangnya|o;f1s
rest|sisa, yang lain; beristirahat|o;v
four|empat|o
quite|cukup, agak; benar-benar, sepenuhnya|o;o
book|buku|o
anyway|omong-omong, bagaimanapun|o
ain|(bukan, tidak — dalam ain't)|g
shall|mari, apakah sebaiknya (menawarkan, mengusulkan)|o
shot|tembakan; bentuk lampau dari shoot|o;o
fun|menyenangkan, keseruan|o
hate|benci, membenci|v
against|melawan, terhadap|o
feeling|perasaan|o
husband|suami|o
dog|anjing|o
cause|penyebab, alasan; karena (tidak baku)|o;o
important|penting|o
line|garis, baris|o
trust|mempercayai; kepercayaan|v;o
cut|memotong|v
wear|mengenakan, memakai (pakaian)|v
trouble|kesulitan, kesusahan|o
power|kekuatan, kekuasaan|o
clear|jelas, mudah dipahami; membersihkan, mengosongkan|o;v
read|membaca|v
nobody|tidak ada seorang pun|o
ring|cincin; berdering|o;v
mr|Tuan, Bapak (gelar untuk laki-laki)|o
though|meskipun, walaupun; namun, akan tetapi|o;o
throw|melempar, membuang|v
fall|jatuh; musim gugur|v;o
supposed|(supposed to) seharusnya, mestinya|o
war|perang|o
between|antara, di antara|o
murder|pembunuhan; membunuh|o;v
pass|melewati, melintas; lulus (ujian)|v;v
city|kota|o
truth|kebenaran|o
sell|menjual|v
pull|menarik|v
blood|darah|o
finish|menyelesaikan, selesai|v
behind|di belakang|o
almost|hampir|o
team|tim, kelompok|o
able|(be able to) bisa, mampu|o
anymore|lagi, tidak lagi|o
couple|dua, sepasang; pasangan (dua orang)|o;o
office|kantor|o
town|kota kecil|o
welcome|selamat datang; (you're welcome) sama-sama|o;o
cool|sejuk, agak dingin; keren, hebat|o;o
sign|tanda, rambu; menandatangani|o;v
touch|menyentuh; sentuhan|v;o
free|gratis, tanpa biaya; bebas, tidak terkurung|o;o
spend|membelanjakan (uang); menghabiskan (waktu)|v;v
fact|fakta, kenyataan|o
yours|milikmu|o
dance|menari; tarian|v;o
fast|cepat|o
wow|wah (kagum, terkejut)|o
half|setengah, separuh|o
drop|menjatuhkan; tetes|v;o
bed|tempat tidur, kasur|o
either|salah satu (dari dua)|o
cry|menangis|v
country|negara, negeri; pedesaan, kampung|o;o
figure|bentuk, angka; mengira, memperkirakan|o;v
front|depan; (in front of) di depan|o;o
learn|belajar, mempelajari|v
whoa|wah (terkejut; tahan dulu)|o
bye|selamat tinggal, sampai jumpa|o
telling|memberitahu|o
honey|madu (makanan manis); sayang (sapaan mesra)|o;o
wonder|bertanya-tanya, ingin tahu; keajaiban, kekaguman|v;o
don't|tidak, jangan (bentuk negatif)|f3s
doesn't|tidak (bentuk negatif untuk dia)|f3s
didn't|tidak (bentuk negatif lampau)|f3s
isn't|bukan, tidak (untuk dia)|f3s
aren't|bukan, tidak (untuk kamu, kami, mereka)|f3s
wasn't|bukan, tidak (lampau: saya, dia)|f3s
haven't|belum, tidak (bentuk perfek)|f3s
couldn't|tidak bisa (lampau)|o
wouldn't|tidak akan, tidak mau|o
ain't|bukan, tidak (tidak baku)|f3s
won't|tidak akan|o
can't|tidak bisa|o
weren't|bukan, tidak (lampau: kamu, kami, mereka)|f3s
hasn't|belum, tidak (bentuk perfek untuk dia)|f3s
hadn't|belum, tidak (bentuk perfek lampau)|f3s
shouldn't|sebaiknya jangan, tidak seharusnya|o
mustn't|tidak boleh|o
return|kembali, pulang; mengembalikan|v;v
stupid|bodoh, tidak pintar|o
sigh|menghela napas (karena lelah atau lega)|v
sort|jenis, macam; menyusun, mengurutkan|o;v
hurry|bergegas, buru-buru|v
hot|panas; pedas; menarik, seksi|o;o;o
news|berita, kabar|o
food|makanan|o
date|tanggal; kencan; berkencan dengan|o;o;v
follow|mengikuti; memahami|v;v
decide|memutuskan|v
full|penuh; lengkap|o;o
early|lebih awal, pagi-pagi|o
lord|bangsawan, tuan; (dengan huruf besar) Tuhan|o;o
picture|gambar, foto; film|o;o
black|hitam|o
sometimes|kadang-kadang|o
along|sepanjang, menyusuri; bersama|o;o
small|kecil|o
foot|kaki (bagian bawah tungkai); kaki, satuan panjang 30 cm|o;o
expect|mengira akan terjadi, menduga; menuntut, mengharuskan|v;v
outside|di luar, bukan di dalam|o
king|raja|o
funny|lucu; aneh, mencurigakan|o;o
stick|tongkat, ranting; menempelkan, melekat|o;v
grow|tumbuh, membesar; menanam|v;v
captain|kapten (kapal, tim, atau pasukan)|o
chuckle|terkekeh, tertawa kecil|v
hang|menggantung; menghukum gantung; (hang out) nongkrong, menghabiskan waktu|v;v;v
human|manusia; manusiawi, milik manusia|o;o
em|(dalam 'em) mereka|o
safe|aman, selamat; brankas|o;o
six|6|o
street|jalan di kota (berjajar bangunan)|o
alive|hidup, masih hidup|o
lead|memimpin, berjalan di depan; posisi terdepan|v;o
drive|mengemudi; membuat jadi (suatu keadaan); dorongan, semangat|v;v;o
boss|bos, atasan|o
living|hidup; nafkah, mata pencaharian|o;o
control|mengendalikan, menguasai; kendali, kuasa atas sesuatu|v;o
blow|meniup; (blow up) meledak; pukulan keras|v;v;o
parent|orang tua (ayah atau ibu)|o
dinner|makan malam, makan besar|o
ahead|di depan, lebih maju|o
surprise|kejutan; mengejutkan, memergoki|o;v
state|keadaan; negara, negara bagian, pemerintah; menyatakan secara resmi|o;o;v
company|perusahaan; kebersamaan, ditemani orang lain|o;o
force|kekuatan, tenaga; memaksa; pasukan|o;v;o
fly|terbang; lalat|v;o
win|menang, mengalahkan|v
shouldn|(dalam shouldn't) tidak seharusnya|o
running|berlari; berjalan, beroperasi|o;o
white|putih|o
alright|baiklah, tidak apa-apa (= all right)|o
million|1.000.000|o
piece|potongan, bagian; satu buah|o;o
ma|(dalam ma'am) nyonya; ibu (akrab)|o;o
scream|menjerit (karena takut atau sakit)|v
gentleman|tuan, pria terhormat|o
perfect|sempurna, tepat sekali|o
beat|memukuli; mengalahkan; irama|v;v;o
continue|melanjutkan, terus|v
step|langkah; tahap; melangkah, menginjak|o;o;v
anybody|siapa saja, siapa pun|o
secret|rahasia, disembunyikan|o
bitch|(kasar) perempuan jahat; anjing betina; mengeluh|o;o;v
ass|(vulgar) pantat; orang bodoh; keledai|o;o;o
kiss|mencium|v
shoot|menembak; syuting, mengambil gambar|v;v
special|khusus, istimewa|o
attack|menyerang; serangan (penyakit yang mendadak)|v;o
top|bagian atas; terbaik; atasan (pakaian)|o;o;o
himself|(bentuk refleksif dari he) dirinya sendiri|o
uncle|paman|o
sick|sakit; menjijikkan; (sick of) bosan dengan|o;o;o
poor|miskin; malang, kasihan; buruk mutunya|o;o;o
perhaps|mungkin, barangkali|o
report|laporan; melaporkan secara resmi|o;v
wake|bangun, membangunkan|v
serious|serius, tidak bercanda; gawat, parah|o;o
voice|suara (orang berbicara)|o
sense|makna, arti; akal sehat; indra; merasakan, mendeteksi|o;o;o;v
red|merah|o
ha|(seruan menang atau mengejek)|g
scared|takut, ketakutan|o
song|lagu|o
explain|menjelaskan, menerangkan|v
earth|bumi, dunia; tanah|o;o
past|masa lalu; melewati, lebih jauh dari|o;o
mistake|kesalahan, kekeliruan|o
meeting|rapat, pertemuan|o
possible|mungkin, bisa terjadi|o
strong|kuat|o
arm|lengan; mempersenjatai|o;v
hair|rambut, bulu|o
cop|polisi (informal)|o
master|tuan, majikan; ahli; menguasai sepenuhnya|o;o;v
sweet|manis; baik hati, menawan|o;o
cannot|tidak bisa, tidak dapat|o
hospital|rumah sakit|o
ten|10|o
land|tanah, negeri; mendarat|o;v
glad|senang, gembira|o
movie|film (Amerika)|o
agree|sependapat; menyetujui, mengiyakan|v;v
hmm|(bunyi berpikir atau ragu)|g
air|udara; sikap, penampilan|o;o
cold|dingin; tidak ramah; pilek|o;o;o
charge|mendakwa; mematok harga, menagih; mengisi daya; tanggung jawab|v;v;v;o
luck|nasib, untung-malang|o
record|catatan; rekaman musik; merekam, mencatat|o;o;v
daddy|ayah (kata anak-anak)|o
star|bintang (di langit); bintang, artis terkenal|o;o
cheer|sorak-sorai; menyemangati|o;v
key|kunci; paling penting, utama; tombol|o;o;o
finally|akhirnya|o
hide|menyembunyikan, bersembunyi|v
begin|mulai, memulai|v
film|film (Inggris); merekam dengan kamera; lapisan tipis|o;v;o
carry|membawa|v
paper|kertas; koran; dokumen|o;o;o
officer|perwira, petugas (polisi atau tentara berpangkat)|o
clean|bersih; membersihkan|o;v
act|bertindak; berperan, berakting; perbuatan, undang-undang|v;v;o
dress|gaun; berpakaian, memakaikan baju|o;v
evening|sore, petang (akhir hari sebelum malam)|o
bet|bertaruh; (I bet) saya yakin|v;f1s
ship|kapal; mengirim barang|o;v
allow|membolehkan, mengizinkan|v
sex|jenis kelamin; hubungan badan|o;o
till|sampai; laci uang di toko|o;o
known|known, bentuk past participle dari know|o
road|jalan (antar tempat, untuk kendaraan)|o
lucky|beruntung, bernasib baik|o
age|umur, usia; zaman, masa|o;o
letter|surat; huruf|o;o
rather|lebih baik, malah; agak, cukup|o;o
steal|mencuri|v
felt|felt, bentuk lampau dari feel|o
grunt|mendengus, menggerutu|v
protect|melindungi|v
cover|menutupi; menangani, mencakup; perlindungan|v;v;o
join|bergabung dengan; menjadi anggota|v;v
sing|menyanyi|v
ball|bola; pesta dansa resmi|o;o
quiet|sepi, tidak berisik; lengang, tidak ramai|o;o
law|hukum, undang-undang; polisi|o;o
count|menghitung; berarti, penting; (count on) mengandalkan|v;v;v
somewhere|di suatu tempat, ke suatu tempat|o
train|kereta api; melatih, berlatih|o;v
enjoy|menikmati|v
knock|memukul, mengetuk pintu|v
jesus|(seruan kaget atau kesal)|g
coffee|kopi|o
test|ujian, tes; menguji, mencoba|o;v
fool|orang bodoh; menipu|o;v
calling|menelepon; memanggil|o;o
choose|memilih|v
horse|kuda|o
lock|kunci, gembok; mengunci|o;v
bag|tas|o
less|lebih sedikit, kurang|o
teach|mengajar, mengajari|v
calm|tenang; menenangkan|o;v
fix|memperbaiki; mengatur, mengurus; memasang kuat|v;v;v
careful|hati-hati, teliti|o
rock|batu besar; musik rok; mengayun perlahan|o;o;v
fault|kesalahan (tanggung jawabnya); cacat|o;o
rule|aturan; memerintah, menguasai|o;v
dude|orang, bung (informal)|o
offer|menawarkan, mengulurkan; tawaran|v;o
park|taman; memarkir|o;v
weren|(dalam weren't) bentuk negatif dari were|o
given|given, bentuk past participle dari give|o
realize|menyadari, memahami|v
future|masa depan|o
quick|cepat, tidak lama|o
straight|lurus; langsung, seketika; jujur|o;o;o
ooh|(seruan kaget atau senang)|g
class|kelas (kelompok belajar); pelajaran; kelas sosial; mutu|o;o;o;o
mark|bekas, tanda; menilai, memberi nilai; menandai letaknya|o;v;v
choice|pemilihan; pilihan yang ada|o;o
arrest|menangkap, menahan|v
card|kartu (untuk pesan, permainan, atau pembayaran)|o
imagine|membayangkan; mengira, menyangka|v;v
joke|lelucon, gurauan|o
system|sistem (rangkaian bagian atau aturan)|o
wonderful|luar biasa bagus, menakjubkan|o
mad|marah; gila|o;o
push|mendorong; mendesak|v;v
absolutely|sepenuhnya, sama sekali; (sebagai jawaban) tentu saja|o;o
ride|menunggang, berkendara; perjalanan|v;o
drug|obat; narkoba|o;o
present|sekarang, kini; hadiah; menyajikan, memperkenalkan; hadir|o;o;v;o
smell|mencium (dengan hidung); bau|v;o
building|gedung, bangunan|o
yesterday|kemarin|o
box|kotak, dus; bertinju|o;v
mess|keadaan berantakan; masalah, kekacauan|o;o
president|presiden, direktur utama|o
darling|sayang (panggilan untuk orang tercinta)|o
share|membagi dengan orang lain; bagian, jatah; saham|v;o;o
reach|tiba di, sampai di; menjangkau, meraih|v;v
burn|terbakar, membakar|v
leg|kaki, tungkai|o
forgive|memaafkan, mengampuni|v
worth|senilai, seharga; layak, pantas|o;o
pain|rasa sakit, nyeri|o
message|pesan|o
swear|bersumpah; mengumpat, berkata kasar|v;v
visit|mengunjungi, menjenguk|v
build|membangun, merakit|v
fish|ikan; memancing, menangkap ikan|o;v
american|Amerika, dari Amerika Serikat; orang Amerika|o;o
round|bulat; babak (dalam pertandingan); minuman untuk semua orang|o;o;o
weird|aneh, ganjil (bikin tidak nyaman)|o
destroy|menghancurkan, merusak sama sekali|v
bill|tagihan; uang kertas; rancangan undang-undang|o;o;o
mouth|mulut|o
notice|menyadari, memperhatikan; pengumuman tertulis|v;o
wedding|pernikahan (upacaranya)|o
court|pengadilan; istana, lingkungan raja; mendekati, menggaet|o;o;v
none|tidak ada satu pun|o
amazing|menakjubkan, mengagumkan|o
general|umum, menyeluruh (tidak rinci); jenderal|o;o
chief|pemimpin, kepala; utama, terpenting|o;o
dark|gelap; tua (warnanya); suram|o;o;o
strange|aneh, tidak biasa; asing, tidak dikenal|o;o
station|stasiun (kereta); markas polisi, stasiun penyiaran|o;o
goodbye|selamat tinggal, sampai jumpa (diucapkan saat berpisah)|g
fear|rasa takut; takut akan|o;v
near|dekat, tidak jauh|o
kick|menendang|v
wall|dinding, tembok; penghalang|o;o
brain|otak; kecerdasan|o;o
arrive|tiba, sampai|v
handle|menangani, mengatasi; pegangan, gagang|v;o
shop|toko; berbelanja|o;v
bar|bar (tempat minum); batang logam; menghalangi|o;o;v
happening|sedang terjadi, berlangsung|o
prove|membuktikan|v
study|mempelajari, belajar; ruang kerja|v;o
