# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in English. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt.
#
# feats states the class and person of each sense, in the same order and with
# the same ";" separator as the gloss: v=verb, f=finite, g=grammatical,
# n=expression, o=other, followed by any persons (1s 2s 3s 1p 2p 3p). It is
# generated from the gloss, so correct the gloss and re-run — never this.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|you (one person or several)|f2s2p
wait|to wait|v
even|even (surprisingly); even (level)|o;o
life|life|o
doing|doing|o
hello|hello|o
help|to help; help|v;o
sure|sure, certain; (interjection) yes, of course|o;o
year|year|o
these|these|o
other|other|o
stop|to stop|v
happen|to happen|v
first|first|o
into|into|o
keep|to keep; to carry on (doing)|v;v
find|to find|v
ask|to ask (a question); to ask for|v;v
still|still (even now); still, motionless|o;o
anything|anything|o
hear|to hear|v
god|god; (oh God) exclamation of shock|o;o
leave|to leave (go away); to leave (behind)|v;v
nothing|nothing|o
sir|sir (polite address to a man)|o
put|to put, to place|v
their|their|o
use|to use; use, purpose|v;o
great|great, very good; great, large|o;o
long|long|o
uh|uh (hesitating)|o
again|again|o
thought|thought, past of think; a thought, an idea|o;o
kill|to kill|v
maybe|maybe, perhaps|o
must|must, to have to|o
night|night|o
before|before|o
after|after|o
won|won, past of win; (in won't) will not|o;o
home|home|o
away|away|o
girl|girl|o
than|than|o
name|name; to name|o;v
friend|friend|o
last|last, final; to last|o;v
fuck|(vulgar) fuck; used for anger or emphasis|o;o
better|better|o
everything|everything|o
new|new|o
start|to start; the start|v;o
always|always|o
feel|to feel|v
place|place|o
big|big|o
woman|woman|o
old|old|o
money|money|o
around|around|o
doesn|(in doesn't) does not|f3s
stay|to stay|v
lot|(a lot) much, many|o
play|to play; a play|v;o
kid|kid, child; to joke|o;v
believe|to believe|v
wrong|wrong|o
bring|to bring (here)|v
father|father|o
ever|ever, at any time|o
move|to move|v
boy|boy|o
show|to show; a show, a programme|v;o
isn|(in isn't) is not|f3s
listen|to listen|v
die|to die|v
which|which|o
miss|to miss (feel the absence of); to miss (fail to hit); Miss (title)|v;v;o
late|late|o
nice|nice, pleasant|o
fine|fine, all right; fine, of good quality|o;o
kind|kind, type; kind, gentle|o;o
house|house|o
understand|to understand|v
someone|someone|o
being|being|o
hand|hand|o
meet|to meet|v
coming|coming|o
every|every|o
through|through|o
lose|to lose (mislay); to lose (a game)|v;v
remember|to remember|v
course|course, a set of lessons; (of course) certainly|o;o
mother|mother|o
dad|dad, father|o
left|left, past of leave; left (the side)|o;o
world|world|o
enough|enough|o
own|own (belonging to oneself); to own|o;v
care|to care; care, attention|v;o
may|may (allowed to); may (possibly)|o;o
bad|bad|o
three|three|o
might|might, possibly|o
today|today|o
car|car|o
another|another|o
minute|minute|o
turn|to turn; a turn (your go)|v;o
same|same|o
son|son|o
found|found, past of find|o
else|else, other, besides|o
next|next|o
run|to run; to run (a business)|v;v
live|to live|v
mind|mind; to mind, to object|o;v
yourself|yourself|o
job|job, work|o
head|head; to head, to go towards|o;v
dead|dead|o
family|family|o
many|many|o
worry|to worry; worry|v;o
wasn|(was not, in wasn't)|g
baby|baby|o
room|room (in a house); room, space|o;o
mom|mom, mother|o
watch|to watch; watch (on the wrist)|v;o
child|child|o
hold|to hold; hold on! (wait)|v;o
best|best|o
morning|morning|o
hell|hell; (what the hell) expresses annoyance|o;o
together|together|o
brother|brother|o
saw|saw, past of see|o
change|to change; change (coins)|v;o
pay|to pay|v
eat|to eat|v
end|end; to end|o;v
idea|idea|o
real|real, genuine|o
forget|to forget|v
problem|problem|o
without|without|o
wouldn|(would not, in wouldn't)|g
already|already|o
hope|to hope; hope|v;o
door|door|o
open|to open; open|v;o
send|to send|v
matter|to matter, to be important; matter, an affair|v;o
actually|actually, in fact|o
shit|(vulgar) shit; used for annoyance or dismay|o;o
seem|to seem|v
hard|hard, difficult; hard, firm|o;o
happy|happy|o
huh|huh? (asking to repeat; checking agreement)|o
speak|to speak|v
both|both|o
once|once, one time; once, formerly|o;o
bit|(a bit) a little|o
laugh|to laugh; a laugh|v;o
ready|ready|o
guess|to guess; (I guess) I suppose|v;f1s
pretty|pretty, attractive; pretty, fairly|o;o
wife|wife|o
drink|to drink; a drink|v;o
hour|hour|o
word|word|o
eye|eye|o
such|such|o
also|also, too|o
haven|(have not, in haven't)|g
yet|yet, so far; yet, but|o;o
whole|whole, entire|o
while|while, during the time that|o
since|since (from then); since, because|o;o
face|face; to face, to confront|o;v
phone|phone; to phone|o;v
sleep|to sleep; sleep|v;o
school|school|o
fight|to fight; a fight|v;o
tomorrow|tomorrow|o
week|week|o
tonight|tonight|o
everyone|everyone|o
break|to break; a break, a pause|v;o
walk|to walk; a walk|v;o
marry|to marry|v
wanna|want to (informal)|o
ah|ah (understanding, relief)|o
second|second (unit of time); second (after the first)|o;o
alone|alone|o
myself|myself|o
case|case, an instance; (in case) in the event that|o;o
check|to check; to check (look at)|v;v
um|um (hesitating)|o
soon|soon|o
close|to close, to shut; close, near|v;o
question|question|o
saying|saying|o
lie|to lie, to tell an untruth; to lie down|v;v
few|few, not many|o
heart|heart|o
couldn|(could not, in couldn't)|g
lady|lady, woman|o
buy|to buy|v
gotta|(have got to) must, have to|o
ago|ago|o
excuse|(excuse me) sorry, may I; to excuse|o;v
anyone|anyone|o
sound|sound; to sound, to seem|o;v
until|until|o
sit|to sit|v
become|to become|v
doctor|doctor|o
young|young|o
police|police|o
business|business; business, an affair|o;o
part|part|o
true|true|o
each|each|o
point|point, an idea; to point|o;v
easy|easy|o
deal|deal, an agreement; to deal with|o;v
hit|to hit|v
fire|fire; to fire (dismiss); to fire (a gun)|o;v;v
hurt|to hurt|v
music|music|o
water|water|o
probably|probably|o
month|month|o
beautiful|beautiful|o
stuff|stuff, things|o
person|person|o
damn|damn (annoyance); damned|o;o
story|story|o
body|body|o
death|death|o
order|order, a command; order, arrangement|o;o
number|number|o
working|working|o
pick|to pick, to choose; to pick up|v;v
crazy|crazy, mad|o
write|to write|v
stand|to stand; to bear, to tolerate|v;v
save|to save (rescue); to save (keep)|v;v
game|game|o
exactly|exactly|o
under|under|o
everybody|everybody|o
wish|to wish; a wish|v;o
far|far|o
shut|to shut; shut up! (be quiet)|v;o
chance|chance, opportunity; chance, luck|o;o
party|party (celebration); party (group)|o;o
five|five|o
plan|plan; to plan|o;v
mine|mine, belonging to me|o
its|its|o
whatever|whatever|o
answer|answer; to answer|o;v
aren|(are not, in aren't)|g
taking|taking|o
promise|to promise; a promise|v;o
moment|moment|o
interest|interest; to interest|o;v
inside|inside|o
set|to set, to put; set, a group|v;o
catch|to catch|v
different|different|o
high|high|o
dear|dear (loved); dear (in a letter)|o;o
sister|sister|o
daughter|daughter|o
gun|gun|o
somebody|somebody|o
light|light (brightness); light, not heavy|o;o
dream|dream; to dream|o;v
reason|reason|o
side|side|o
making|making|o
afraid|afraid; (I'm afraid) I regret|o;f1s
rest|rest, what remains; to rest|o;v
four|four|o
quite|quite, fairly; quite, completely|o;o
book|book|o
anyway|anyway|o
ain|(am not, is not, are not — in ain't)|g
shall|shall (offering, suggesting)|o
shot|shot, a gunshot; shot, past of shoot|o;o
fun|fun|o
hate|to hate|v
against|against|o
feeling|feeling|o
husband|husband|o
dog|dog|o
cause|cause, reason; because (informal)|o;o
important|important|o
line|line|o
trust|to trust; trust|v;o
cut|to cut|v
wear|to wear|v
trouble|trouble|o
power|power|o
clear|clear, easy to understand; to clear|o;v
read|to read|v
nobody|nobody|o
ring|ring (jewellery); to ring|o;v
mr|Mr (title for a man)|o
though|though, although; though, however|o;o
throw|to throw|v
fall|to fall; fall, autumn|v;o
supposed|(supposed to) meant to, expected to|o
war|war|o
between|between|o
murder|murder; to murder|o;v
pass|to pass; to pass (an exam)|v;v
city|city|o
truth|truth|o
sell|to sell|v
pull|to pull|v
blood|blood|o
finish|to finish|v
behind|behind|o
almost|almost|o
team|team|o
able|(be able to) can, capable of|o
anymore|anymore, any longer|o
couple|couple, two; couple, a pair of people|o;o
office|office|o
town|town|o
welcome|welcome; (you're welcome) reply to thanks|o;o
cool|cool (slightly cold); cool, excellent|o;o
sign|sign; to sign|o;v
touch|to touch; touch|v;o
free|free, at no cost; free, not trapped|o;o
spend|to spend (money); to spend (time)|v;v
fact|fact|o
yours|yours, belonging to you|o
dance|to dance; a dance|v;o
fast|fast, quick|o
wow|wow (admiration, surprise)|o
half|half|o
drop|to drop; a drop|v;o
bed|bed|o
either|either|o
cry|to cry, to weep|v
country|country, a nation; country, the countryside|o;o
figure|figure, a shape or number; to figure, to work out|o;v
front|front; (in front of) before|o;o
learn|to learn|v
whoa|whoa (surprise; slow down)|o
bye|bye, goodbye|o
telling|telling|o
honey|honey (sweet food); honey (affectionate address)|o;o
wonder|to wonder; wonder, amazement|v;o
return|to come back, to go back; to give back|v;v
stupid|foolish, not clever|o
sigh|to breathe out slowly from tiredness or relief|v
sort|kind, type; to arrange in order|o;v
hurry|to move quickly, to rush|v
hot|at a high temperature; spicy; attractive|o;o;o
news|reports of recent events|o
food|what people eat|o
date|day of the month; romantic meeting; to go out with|o;o;v
follow|to go after; to understand|v;v
decide|to make a choice|v
full|holding as much as possible; complete|o;o
early|before the usual time|o
lord|nobleman; (capitalised) God|o;o
picture|image, photograph; film|o;o
black|of the darkest colour|o
sometimes|on some occasions, not always|o
along|beside and forward; together with|o;o
small|little in size|o
foot|body part at the end of the leg; unit of length, 30 cm|o;o
expect|to think something will happen; to require|v;v
outside|beyond the walls of, not inside|o
king|male ruler of a country|o
funny|making you laugh; odd, suspicious|o;o
stick|thin piece of wood; to attach, to become fixed|o;v
grow|to get bigger; to cultivate|v;v
captain|officer in charge of a ship, team or unit|o
chuckle|to laugh quietly|v
hang|to fasten from above; to kill by rope; (hang out) to spend time|v;v;v
human|person; belonging to people|o;o
em|(in 'em) them|o
safe|out of danger; strongbox for valuables|o;o
six|6|o
street|road in a town with buildings along it|o
alive|living, not dead|o
lead|to guide, to go in front; first place|v;o
drive|to operate a vehicle; to force into a state; urge, energy|v;v;o
boss|person in charge at work|o
living|alive; way of earning money|o;o
control|to direct, to keep in check; power over something|v;o
blow|to move air; (blow up) to explode; hard hit|v;v;o
parent|mother or father|o
dinner|main meal of the day|o
ahead|in front, further forward|o
surprise|unexpected event; to catch off guard|o;v
state|condition; nation, government; to say formally|o;o;v
company|business firm; being with others|o;o
force|physical power; to make someone do something; armed body|o;v;o
fly|to move through the air; small insect|v;o
win|to come first, to beat others|v
shouldn|(in shouldn't) should not|o
running|moving fast on foot; operating|o;o
white|of the colour of snow|o
alright|okay, fine (= all right)|o
million|1,000,000|o
piece|part of a whole; single item|o;o
ma|(in ma'am) madam; mother (informal)|o;o
scream|to cry out loudly in fear or pain|v
gentleman|polite word for a man|o
perfect|without fault, exactly right|o
beat|to hit repeatedly; to defeat; rhythm|v;v;o
continue|to keep going, to carry on|v
step|movement of the foot; stage in a process; to tread|o;o;v
anybody|any person|o
secret|kept hidden from others|o
bitch|(offensive) spiteful woman; female dog; to complain|o;o;v
ass|(vulgar) buttocks; fool; donkey|o;o;o
kiss|to touch with the lips|v
shoot|to fire a weapon; to film|v;v
special|not ordinary, meant for one purpose|o
attack|to use violence against; sudden bout of illness|v;o
top|highest part; best; upper garment|o;o;o
himself|(reflexive of he) his own self|o
uncle|brother of your parent|o
sick|ill, unwell; disgusting; (sick of) fed up with|o;o;o
poor|having little money; deserving pity; of low quality|o;o;o
perhaps|maybe, possibly|o
report|account of something; to tell officially|o;v
wake|to stop sleeping, to rouse|v
serious|not joking; grave, severe|o;o
voice|sound a person makes when speaking|o
sense|meaning; good judgement; ability to feel; to detect|o;o;o;v
red|colour of blood|o
ha|(exclamation of triumph or scorn)|g
scared|frightened, afraid|o
song|piece of music with words|o
explain|to make clear, to give reasons for|v
earth|the world; soil, ground|o;o
past|time before now; beyond, further than|o;o
mistake|error, something done wrongly|o
meeting|gathering arranged to discuss something|o
possible|able to happen|o
strong|having great power or force|o
arm|limb from shoulder to hand; to supply with weapons|o;v
hair|threads growing on the head and body|o
cop|police officer (informal)|o
master|person in control; expert; to learn thoroughly|o;o;v
sweet|tasting of sugar; kind, charming|o;o
cannot|not able to|o
hospital|place where sick people are treated|o
ten|10|o
land|ground, country; to come down from the air|o;v
glad|pleased, happy about something|o
movie|film, motion picture (American)|o
agree|to have the same opinion; to say yes|v;v
hmm|(sound of thinking or doubt)|g
air|what we breathe; manner, appearance|o;o
cold|at low temperature; unfriendly; illness with sneezing|o;o;o
charge|to accuse formally; to demand as a price; to fill with power; responsibility|v;v;v;o
luck|chance, good or bad fortune|o
record|written account; music release; to store sound or events|o;o;v
daddy|father (child's word)|o
star|light in the night sky; famous performer|o;o
cheer|shout of approval; to encourage|o;v
key|piece of metal that opens a lock; most important; button|o;o;o
finally|at last, in the end|o
hide|to put or keep out of sight|v
begin|to start|v
film|motion picture (British); to record on camera; thin layer|o;v;o
carry|to hold and move something|v
paper|material for writing; newspaper; document|o;o;o
officer|member of the police or armed forces holding rank|o
clean|free of dirt; to remove dirt from|o;v
act|to do something; to perform a part; deed, law|v;v;o
dress|garment worn by women; to put clothes on|o;v
evening|end of the day, before night|o
bet|to risk money on a result; (I bet) I'm sure|v;f1s
ship|large boat; to send goods|o;v
allow|to let something happen, to permit|v
sex|male or female; physical act between people|o;o
till|until; drawer for money in a shop|o;o
known|known, past participle of know|o
road|way for vehicles between places|o
lucky|having good fortune|o
age|how old someone is; period of history|o;o
letter|written message; sign for a sound|o;o
rather|instead, preferably; fairly, quite|o;o
steal|to take without permission|v
felt|felt, past of feel|o
grunt|to make a low rough sound|v
protect|to keep safe from harm|v
cover|to put something over; to deal with, to include; protection|v;v;o
join|to come together with; to become a member of|v;v
sing|to make music with the voice|v
ball|round object used in games; formal dance|o;o
quiet|making little or no noise; not busy|o;o
law|rule made by a state; the police|o;o
count|to say numbers in order; to matter; (count on) to rely on|v;v;v
somewhere|in or to some place|o
train|railway vehicle; to teach a skill, to practise|o;v
enjoy|to get pleasure from|v
knock|to hit, to strike a door|v
jesus|(exclamation of surprise or annoyance)|g
coffee|hot drink made from roasted beans|o
test|check of quality or knowledge; to try out|o;v
fool|stupid person; to trick|o;v
calling|phoning; shouting to|o;o
choose|to pick from several options|v
horse|large animal ridden by people|o
lock|fastening opened with a key; to fasten|o;v
bag|container carried in the hand|o
less|smaller in amount, not so much|o
teach|to give lessons, to show how|v
calm|not upset or excited; to soothe|o;v
fix|to repair; to arrange; to fasten|v;v;v
careful|taking care, avoiding harm or error|o
rock|large stone; loud guitar music; to move gently to and fro|o;o;v
fault|responsibility for something wrong; flaw|o;o
rule|instruction that must be followed; to govern|o;v
dude|man, guy (informal)|o
offer|to hold out or propose; proposal|v;o
park|public green space; to leave a vehicle|o;v
weren|(in weren't) negative form of were|o
given|given, past participle of give|o
realize|to become aware of, to understand|v
future|time to come|o
quick|fast, taking little time|o
straight|not bent; directly, at once; honest|o;o;o
ooh|(exclamation of surprise or pleasure)|g
class|group taught together; lesson; social rank; quality|o;o;o;o
mark|spot or line left on something; to grade; to show the position of|o;v;v
choice|act of choosing; option available|o;o
arrest|to take into custody|v
card|stiff piece of paper for messages, games or payment|o
imagine|to form a picture in the mind; to suppose|v;v
joke|something said to make people laugh|o
system|set of connected parts or rules|o
wonderful|extremely good, marvellous|o
mad|angry; insane|o;o
push|to press away from you; to urge|v;v
absolutely|completely; (as an answer) certainly|o;o
ride|to travel on a horse or in a vehicle; journey|v;o
drug|medicine; illegal substance|o;o
present|now, current; gift; to show or introduce; attending|o;o;v;o
smell|to sense with the nose; odour|v;o
building|structure with walls and a roof|o
yesterday|the day before today|o
box|container with straight sides; to fight with fists|o;v
mess|dirty or disordered state; trouble|o;o
president|head of a country or company|o
darling|term of affection for someone loved|o
share|to divide with others; portion; part of a company|v;o;o
reach|to arrive at; to stretch out to touch|v;v
burn|to be on fire, to destroy with fire|v
leg|limb used for standing and walking|o
forgive|to stop blaming, to pardon|v
worth|having the value of; deserving|o;o
pain|unpleasant feeling caused by injury or illness|o
message|piece of information sent to someone|o
swear|to promise solemnly; to use rude words|v;v
visit|to go and see someone or somewhere|v
build|to make by putting parts together|v
fish|animal that lives in water; to catch these|o;v
american|of the United States; person from the United States|o;o
round|shaped like a circle; stage of a contest; drinks bought for everyone|o;o;o
weird|strange in an unsettling way|o
destroy|to ruin completely|v
bill|amount to pay; banknote; proposed law|o;o;o
mouth|opening in the face for eating and speaking|o
notice|to see or become aware of; written announcement|v;o
wedding|ceremony where two people marry|o
court|place where legal cases are heard; royal household; to woo|o;o;v
none|not any, not one|o
amazing|causing wonder, very impressive|o
general|affecting everyone, not detailed; senior army officer|o;o
chief|leader; main, most important|o;o
dark|without light; deep in colour; gloomy|o;o;o
strange|unusual, unfamiliar; unknown|o;o
station|stopping place for trains; base for police or broadcasting|o;o
goodbye|(said when parting)|g
fear|feeling caused by danger; to be afraid of|o;v
near|close to, a short distance away|o
kick|to strike with the foot|v
wall|upright side of a room or building; barrier|o;o
brain|organ of thought inside the head; intelligence|o;o
arrive|to reach a place|v
handle|to deal with, to cope with; part you hold|v;o
shop|place where goods are sold; to buy things|o;v
bar|place selling drinks; long piece of metal; to block|o;o;v
happening|taking place, going on|o
prove|to show to be true|v
study|to learn about; room for working|v;o
busy|having much to do; occupied|o;o
'am|(in ma'am) madam|o
crime|act against the law|o
animal|living creature that is not a plant or a human|o
tired|needing rest or sleep; (tired of) bored with|o;o
bastard|(insult) unpleasant man; child of unmarried parents|o;o
service|help given to customers; religious ceremony; armed forces|o;o;o
judge|official who decides legal cases; to form an opinion about|o;v
thousand|1,000|o
ground|surface of the earth; reason, basis|o;o
suppose|to think likely, to assume|v
blue|colour of a clear sky|o
mile|unit of distance, 1.6 km|o
group|number of people or things together|o
search|to look carefully for; hunt for something|v;o
eh|(asking for agreement or repetition)|g
accept|to agree to take or believe|v
hotel|building where travellers pay to sleep|o
deep|going a long way down; hard to understand|o;o
idiot|fool, someone who acts without sense|o
short|small in length or height; lasting little time|o;o
jump|to push yourself off the ground|v
table|flat top on legs; list of figures in rows|o;o
buddy|friend, mate (informal)|o
birthday|day someone was born, marked each year|o
during|through the time of|o
weapon|thing used to fight or harm|o
camera|device for taking pictures|o
evidence|facts that show what is true|o
club|group meeting for an interest; nightclub; heavy stick|o;o;o
honor|respect, good name; to show respect to|o;v
seat|place to sit|o
agent|person acting for another; government officer|o;o
tree|tall plant with a trunk and branches|o
tv|television|o
create|to make something new|v
completely|fully, in every way|o
glass|hard clear material; container for drinking|o;o
security|protection from danger; guards who protect|o;o
totally|entirely, absolutely (informal)|o
area|part of a place; extent of a surface|o;o
treat|to behave towards; to give medical care to; something special|v;v;o
bank|place that keeps money; side of a river|o;o
floor|surface you walk on; storey of a building|o;o
born|brought into life|o
information|facts told or learned|o
situation|state of things at a moment|o
instead|in place of that|o
definitely|without doubt, for sure|o
victim|person harmed by crime or accident|o
certainly|surely, without question; (as an answer) of course|o;o
prepare|to get ready|v
smart|clever; neat in appearance|o;o
consider|to think carefully about|v
christmas|Christian festival on 25 December|o
raise|to lift up; to bring up a child; increase in pay|v;v;o
unless|except if|o
seven|7|o
clothes|things worn on the body|o
respect|regard for someone's worth; to treat with regard|o;v
smoke|grey cloud from fire; to draw in tobacco smoke|o;v
escape|to get away, to break free|v
window|opening in a wall with glass|o
hasn|(in hasn't) has not|f3s
boat|small vessel that travels on water|o
cook|to make food ready with heat; person who does this|v;o
waste|to use badly, to throw away; rubbish|v;o
bother|to trouble or annoy; to take the trouble to|v;v
soul|spirit of a person; person|o;o
history|study of past events; the past itself|o;o
trip|journey; to catch your foot and fall|o;v
cell|small room in a prison; smallest unit of a living thing; mobile phone|o;o;o
terrible|very bad, awful|o
army|country's land fighting force|o
simple|easy; plain, not complicated|o;o
hundred|100|o
relax|to become less tense, to rest|v
guard|person who watches and protects; to protect|o;v
except|not including, apart from|o
detective|police officer who investigates crimes|o
broke|broke, past of break; having no money|o;o
lovely|beautiful, very pleasant|o
seriously|in a serious way; really, truly|o;o
forever|for all time, endlessly|o
entire|whole, complete|o
space|empty room, gap; area beyond the earth|o;o
mention|to say briefly, to refer to|v
gasp|to draw breath sharply in shock|v
track|path or course; recorded song; to follow|o;o;v
across|from one side to the other of|o
patient|person receiving medical treatment; able to wait calmly|o;o
marriage|state of being husband and wife; wedding|o;o
fair|just, reasonable; light in colour; outdoor event with rides|o;o;o
single|one only; unmarried|o;o
list|series of items written down|o
experience|things a person has done or lived through; to go through|o;v
bird|animal with feathers and wings|o
middle|point at equal distance from the edges|o
rich|having much money; full in flavour|o;o
accident|unlucky event causing damage; chance happening|o;o
lay|to put down flat; lay, past of lie|v;o
scene|place where something happens; part of a play or film|o;o
sun|star that gives the earth light and heat|o
machine|device with moving parts that does work|o
anywhere|in or to any place|o
dangerous|likely to cause harm|o
attention|watching or listening closely; notice|o;o
dare|to be brave enough to; to challenge|v;v
sea|large body of salt water|o
contact|to get in touch with; connection between people|v;o
killer|person who kills|o
grab|to take hold of suddenly|v
groan|to make a low sound of pain or complaint|v
witness|person who saw something happen; to see it happen|o;v
relationship|way two people are connected; romance|o;o
sitting|resting on a seat|o
radio|device that receives broadcasts; broadcasting by waves|o;o
decision|choice that has been made|o
remain|to stay, to be left|v
lunch|meal in the middle of the day|o
field|open land for crops or sport; area of study|o;o
smile|to turn the mouth up in pleasure|v
peace|freedom from war; calm|o;o
cat|small furry animal kept as a pet|o
government|group that rules a country|o
art|making of pictures, music or writing; skill|o;o
gift|present; natural ability|o;o
normal|usual, as expected|o
tough|hard to do; strong, not easily hurt|o;o
enemy|person or country fighting against you|o
memory|ability to remember; something remembered|o;o
concern|worry; to be about, to involve|o;v
travel|to go from place to place|v
teacher|person whose job is to teach|o
position|place where something is; job; opinion held|o;o;o
lawyer|person trained to advise on the law|o
prison|place where criminals are locked up|o
partner|person you work with; person you live with|o;o
major|greater, more important; army officer above captain|o;o
belong|to be owned by; to be in the right place|v;v
soldier|member of an army|o
quickly|fast, in a short time|o
doubt|to be unsure of; feeling of being unsure|v;o
student|person who studies|o
forward|towards the front, onward|o
gold|precious yellow metal|o
eight|8|o
fell|fell, past of fall|o
store|shop; to keep for later use|o;v
tear|drop of liquid from the eye; to pull apart, to rip|o;v
girlfriend|female romantic partner|o
ice|frozen water|o
shoe|covering worn on the foot|o
certain|sure, without doubt; particular but unnamed|o;o
killing|act of taking a life|o
ruin|to spoil completely; remains of a building|v;o
form|shape; document to fill in; to make, to take shape|o;o;v
afternoon|time between midday and evening|o
personal|belonging to one person, private|o
difficult|not easy, needing effort|o
proud|pleased with what you or yours have done|o
shout|to say very loudly|v
church|building for Christian worship|o
tea|hot drink made from leaves|o
slow|taking a long time, not fast|o
deserve|to have earned by what you did|v
whether|if, in either case|o
pant|to breathe hard and fast|v
support|to hold up; to help, to back|v;v
public|open to everyone; the people generally|o;o
base|bottom part, foundation; military camp|o;o
angry|feeling strong displeasure|o
file|folder of papers or data; to put away in order; tool for smoothing|o;v;o
bear|large heavy wild animal; to carry, to endure|o;v
sad|unhappy|o
cross|to go from one side to the other; annoyed; shape of two lines|v;o;o
match|contest between two sides; small stick that makes fire; to be equal to|o;o;v
suit|jacket and trousers of the same cloth; to be right for; legal case|o;v;o
owe|to have to pay back|v
risk|chance that something bad happens; to put in danger|o;v
tie|strip of cloth worn at the neck; to fasten with string; equal score|o;v;o
drunk|affected by alcohol|o
spot|small round mark; place; to catch sight of|o;o;v
note|short written message; musical sound; to observe|o;o;v
taste|flavour; to sense flavour; judgement in style|o;v;o
suspect|person thought guilty; to think likely, to distrust|o;v
queen|female ruler; wife of a king|o;o
plane|aircraft; flat surface|o;o
sake|(for the sake of) benefit, purpose|o
mm|(sound of agreement or thinking)|g
standing|upright on the feet|o
